Date,Visitor,Vg,Home,Hg,ExtraTime,Att.,LOG,Notes
24/04/2021,New Jersey Devils,2,Pittsburgh Penguins,4,,4672,02:24,
24/04/2021,Minnesota Wild,6,San Jose Sharks,3,,,02:20,
24/04/2021,Colorado Avalanche,3,St. Louis Blues,5,,,02:32,
24/04/2021,Ottawa Senators,2,Vancouver Canucks,4,,,02:27,
24/04/2021,Toronto Maple Leafs,4,Winnipeg Jets,1,,,02:22,
25/04/2021,Buffalo Sabres,3,New York Rangers,6,,1800,02:20,
25/04/2021,New Jersey Devils,3,Philadelphia Flyers,4,SO,3651,02:42,
25/04/2021,Boston Bruins,0,Pittsburgh Penguins,1,,4672,02:26,
25/04/2021,Columbus Blue Jackets,3,Tampa Bay Lightning,4,OT,4200,02:26,
26/04/2021,Montreal Canadiens,2,Calgary Flames,1,,,02:21,
26/04/2021,Carolina Hurricanes,3,Dallas Stars,4,OT,5364,02:34,
26/04/2021,Anaheim Ducks,1,Los Angeles Kings,4,,1373,02:18,
26/04/2021,Florida Panthers,1,Nashville Predators,4,,,02:26,
26/04/2021,Vancouver Canucks,1,Ottawa Senators,2,,,02:17,
26/04/2021,Arizona Coyotes,4,San Jose Sharks,6,,520,02:25,
26/04/2021,Colorado Avalanche,1,St. Louis Blues,4,,,02:23,
26/04/2021,Edmonton Oilers,6,Winnipeg Jets,1,,,02:11,
27/04/2021,Detroit Red Wings,0,Columbus Blue Jackets,1,SO,4316,02:29,
27/04/2021,Tampa Bay Lightning,7,Chicago Blackhawks,4,,,02:27,
27/04/2021,Carolina Hurricanes,5,Dallas Stars,1,,6014,02:22,
27/04/2021,Philadelphia Flyers,4,New Jersey Devils,6,,3600,02:36,
27/04/2021,Florida Panthers,7,Nashville Predators,4,,,02:30,
27/04/2021,Buffalo Sabres,1,New York Rangers,3,,1796,02:22,
27/04/2021,Boston Bruins,3,Pittsburgh Penguins,1,,4672,02:26,
27/04/2021,New York Islanders,0,Washington Capitals,1,,2133,02:27,
28/04/2021,Anaheim Ducks,3,Los Angeles Kings,2,,1763,02:19,
28/04/2021,St. Louis Blues,4,Minnesota Wild,3,,3000,02:25,
28/04/2021,Toronto Maple Leafs,4,Montreal Canadiens,1,,,02:20,
28/04/2021,Vancouver Canucks,3,Ottawa Senators,6,,,02:23,
28/04/2021,Arizona Coyotes,2,San Jose Sharks,4,,1037,02:26,
28/04/2021,Colorado Avalanche,2,Vegas Golden Knights,5,,3950,02:26,
28/04/2021,Edmonton Oilers,3,Winnipeg Jets,1,,,02:24,
29/04/2021,Buffalo Sabres,2,Boston Bruins,5,,2191,02:31,
29/04/2021,Detroit Red Wings,1,Carolina Hurricanes,3,,4987,02:24,
29/04/2021,Florida Panthers,4,Chicago Blackhawks,3,OT,,02:24,
29/04/2021,Calgary Flames,3,Edmonton Oilers,1,,,02:23,
29/04/2021,St. Louis Blues,5,Minnesota Wild,4,OT,3000,02:33,
29/04/2021,Philadelphia Flyers,3,New Jersey Devils,5,,3600,02:29,
29/04/2021,New York Islanders,4,New York Rangers,0,,1800,02:21,
29/04/2021,Dallas Stars,0,Tampa Bay Lightning,3,,4200,02:16,
29/04/2021,Vancouver Canucks,1,Toronto Maple Leafs,4,,,02:21,
29/04/2021,Pittsburgh Penguins,5,Washington Capitals,4,OT,2133,02:44,
30/04/2021,Los Angeles Kings,2,Anaheim Ducks,1,,1717,02:24,
30/04/2021,Vegas Golden Knights,0,Arizona Coyotes,3,,5111,02:23,
30/04/2021,San Jose Sharks,0,Colorado Avalanche,3,,4045,02:21,
30/04/2021,Winnipeg Jets,3,Montreal Canadiens,5,,,02:22,
01/05/2021,Los Angeles Kings,2,Anaheim Ducks,6,,1717,02:22,
01/05/2021,Vegas Golden Knights,3,Arizona Coyotes,2,OT,5671,02:33,
01/05/2021,Buffalo Sabres,2,Boston Bruins,6,,2191,02:35,
01/05/2021,Columbus Blue Jackets,1,Carolina Hurricanes,2,OT,4987,02:24,
01/05/2021,Florida Panthers,5,Chicago Blackhawks,4,,,02:20,
01/05/2021,San Jose Sharks,3,Colorado Avalanche,4,,4037,02:30,
01/05/2021,Tampa Bay Lightning,0,Detroit Red Wings,1,SO,,02:43,
01/05/2021,Calgary Flames,1,Edmonton Oilers,4,,,02:23,
01/05/2021,St. Louis Blues,3,Minnesota Wild,4,OT,3000,02:28,
01/05/2021,Ottawa Senators,2,Montreal Canadiens,3,OT,,02:25,
01/05/2021,Dallas Stars,0,Nashville Predators,1,OT,,02:29,
01/05/2021,New York Rangers,0,New York Islanders,3,,1400,02:13,
01/05/2021,New Jersey Devils,4,Philadelphia Flyers,1,,2683,02:23,
01/05/2021,Vancouver Canucks,1,Toronto Maple Leafs,5,,,02:20,
01/05/2021,Pittsburgh Penguins,3,Washington Capitals,0,,2133,02:25,
02/05/2021,Tampa Bay Lightning,2,Detroit Red Wings,1,,,02:24,
03/05/2021,Los Angeles Kings,3,Arizona Coyotes,2,,4983,02:24,
03/05/2021,New York Islanders,2,Buffalo Sabres,4,,,02:26,
03/05/2021,Chicago Blackhawks,2,Carolina Hurricanes,5,,4987,02:27,
03/05/2021,Nashville Predators,4,Columbus Blue Jackets,3,OT,4210,02:30,
03/05/2021,Dallas Stars,4,Florida Panthers,5,OT,4702,02:35,
03/05/2021,Vegas Golden Knights,5,Minnesota Wild,6,,3000,02:37,
03/05/2021,Toronto Maple Leafs,2,Montreal Canadiens,3,OT,,02:31,
03/05/2021,Boston Bruins,3,New Jersey Devils,0,,3600,02:23,
03/05/2021,Washington Capitals,6,New York Rangers,3,,1800,02:32,
03/05/2021,Winnipeg Jets,1,Ottawa Senators,2,,,02:19,
03/05/2021,Pittsburgh Penguins,2,Philadelphia Flyers,7,,2542,02:32,
03/05/2021,Colorado Avalanche,5,San Jose Sharks,4,OT,1071,02:24,
03/05/2021,Anaheim Ducks,1,St. Louis Blues,3,,,02:26,
03/05/2021,Edmonton Oilers,5,Vancouver Canucks,3,,,02:20,
04/05/2021,New York Islanders,3,Buffalo Sabres,4,SO,,02:28,
04/05/2021,Chicago Blackhawks,3,Carolina Hurricanes,6,,4987,02:24,
04/05/2021,Boston Bruins,3,New Jersey Devils,4,OT,3600,02:42,
04/05/2021,Pittsburgh Penguins,7,Philadelphia Flyers,3,,2961,02:33,
04/05/2021,Edmonton Oilers,4,Vancouver Canucks,1,,,02:16,
05/05/2021,Los Angeles Kings,4,Arizona Coyotes,2,,6964,02:27,
05/05/2021,Nashville Predators,2,Columbus Blue Jackets,4,,4084,02:23,
05/05/2021,Winnipeg Jets,4,Calgary Flames,0,,,02:16,
05/05/2021,Vegas Golden Knights,3,Minnesota Wild,2,OT,3000,02:38,
05/05/2021,Washington Capitals,4,New York Rangers,2,,1800,02:35,
05/05/2021,Montreal Canadiens,1,Ottawa Senators,5,,,02:27,
05/05/2021,Colorado Avalanche,2,San Jose Sharks,3,,1041,02:26,
05/05/2021,Anaheim Ducks,3,St. Louis Blues,2,SO,,02:39,
05/05/2021,Dallas Stars,2,Tampa Bay Lightning,6,,4200,02:26,
06/05/2021,New York Rangers,0,Boston Bruins,4,,2191,02:21,
06/05/2021,Chicago Blackhawks,2,Carolina Hurricanes,1,OT,4987,02:25,
06/05/2021,Vancouver Canucks,6,Edmonton Oilers,3,,,02:29,
06/05/2021,New Jersey Devils,2,New York Islanders,1,,1400,02:18,
06/05/2021,Buffalo Sabres,4,Pittsburgh Penguins,8,,4672,02:19,
06/05/2021,Montreal Canadiens,2,Toronto Maple Leafs,5,,,02:23,
07/05/2021,Detroit Red Wings,5,Columbus Blue Jackets,2,,4402,02:14,
07/05/2021,Colorado Avalanche,3,Los Angeles Kings,2,,2115,02:17,
07/05/2021,Anaheim Ducks,3,Minnesota Wild,4,OT,3000,02:27,
07/05/2021,Arizona Coyotes,5,San Jose Sharks,2,,1145,02:34,
07/05/2021,Dallas Stars,5,Tampa Bay Lightning,2,,4200,02:31,
07/05/2021,St. Louis Blues,3,Vegas Golden Knights,4,OT,7567,02:27,
07/05/2021,Philadelphia Flyers,4,Washington Capitals,2,,2133,02:23,
08/05/2021,New York Rangers,5,Boston Bruins,4,,2191,02:33,
08/05/2021,Detroit Red Wings,4,Columbus Blue Jackets,5,OT,4493,02:31,
08/05/2021,Vancouver Canucks,3,Edmonton Oilers,4,,,02:20,
08/05/2021,Tampa Bay Lightning,1,Florida Panthers,5,,5040,02:35,
08/05/2021,Colorado Avalanche,3,Los Angeles Kings,2,,2482,02:18,
08/05/2021,Anaheim Ducks,3,Minnesota Wild,4,OT,3300,02:29,
08/05/2021,Carolina Hurricanes,1,Nashville Predators,3,,,02:22,
08/05/2021,New Jersey Devils,1,New York Islanders,5,,,02:21,
08/05/2021,Buffalo Sabres,0,Pittsburgh Penguins,1,,4672,02:16,
08/05/2021,Arizona Coyotes,5,San Jose Sharks,4,OT,1249,02:30,
08/05/2021,Montreal Canadiens,2,Toronto Maple Leafs,3,,,02:29,
08/05/2021,St. Louis Blues,1,Vegas Golden Knights,4,,7567,02:35,
08/05/2021,Ottawa Senators,4,Winnipeg Jets,2,,,02:16,
08/05/2021,Philadelphia Flyers,1,Washington Capitals,2,OT,2133,02:29,
09/05/2021,Ottawa Senators,1,Calgary Flames,6,,,02:23,
09/05/2021,Dallas Stars,2,Chicago Blackhawks,4,,3820,02:12,
10/05/2021,New York Islanders,2,Boston Bruins,3,OT,4565,02:38,
10/05/2021,Dallas Stars,5,Chicago Blackhawks,4,OT,3917,02:26,
10/05/2021,Tampa Bay Lightning,0,Florida Panthers,4,,5040,02:30,
10/05/2021,St. Louis Blues,2,Los Angeles Kings,1,OT,2154,02:29,
10/05/2021,Edmonton Oilers,4,Montreal Canadiens,3,OT,,02:26,
10/05/2021,Carolina Hurricanes,0,Nashville Predators,5,,,02:25,
10/05/2021,New Jersey Devils,2,Philadelphia Flyers,4,,3882,02:18,
10/05/2021,Colorado Avalanche,2,Vegas Golden Knights,1,,7567,02:21,
10/05/2021,Vancouver Canucks,3,Winnipeg Jets,1,,,02:23,
11/05/2021,Vancouver Canucks,0,Winnipeg Jets,5,,,02:17,
11/05/2021,Boston Bruins,1,Washington Capitals,2,,2133,02:20,
12/05/2021,Los Angeles Kings,0,Colorado Avalanche,6,,4042,02:28,
12/05/2021,Edmonton Oilers,4,Montreal Canadiens,3,OT,,02:18,
12/05/2021,Toronto Maple Leafs,3,Ottawa Senators,4,OT,,02:22,
12/05/2021,Vegas Golden Knights,6,San Jose Sharks,0,,1654,02:17,
12/05/2021,Minnesota Wild,0,St. Louis Blues,4,,,02:20,
13/05/2021,Vancouver Canucks,1,Calgary Flames,4,,,02:21,
13/05/2021,Los Angeles Kings,1,Colorado Avalanche,5,,4045,02:25,
13/05/2021,Minnesota Wild,3,St. Louis Blues,7,,,02:19,
14/05/2021,Toronto Maple Leafs,2,Winnipeg Jets,4,,,02:13,
15/05/2021,Vancouver Canucks,4,Edmonton Oilers,1,,,02:15,
16/05/2021,Calgary Flames,6,Vancouver Canucks,5,OT,,02:34,
18/05/2021,Calgary Flames,2,Vancouver Canucks,4,,,02:28,
19/05/2021,Vancouver Canucks,2,Calgary Flames,6,,,02:27,
